Home team,Away team,Result,Time,Venue,Matchnr,Group,Round
Oppsal IF Fotball 2,"Forward, SK - fotball",,Sunday 26/07 14:00,09 EK7,2 11 7 01 002,Girls 11* Søndag 1,
Oppsal IF Fotball 2,Bækkelagets SK Gul,,Sunday 26/07 16:15,10 EK7,2 11 7 01 004,Girls 11* Søndag 1,
KFUM-Kam. Oslo 1,Oppsal IF Fotball 2,,Tuesday 28/07 14:00,10 EK7,2 11 7 01 009,Girls 11* Søndag 1,
Rustad Abildsø Sportsklubb,Oppsal IF Fotball 2,,Tuesday 28/07 16:15,09 EK7,2 11 7 01 011,Girls 11* Søndag 1,
Oppsal IF Fotball 2,Lørenskog Blå,,Thursday 30/07 14:00,09 EK7,2 11 7 01 015,Girls 11* Søndag 1,
Oppsal IF Fotball 2,"Heming, IL",,Thursday 30/07 18:30,08 EK7,2 11 7 01 020,Girls 11* Søndag 1,
