Home team,Away team,Result,Time,Venue,Matchnr,Group,Round
Lyn Fotball United,Oppsal IF Fotball 1,,Monday 27/07 14:00,09 EK7,2 11 7 01 023,Girls 11* Mandag,
Kolbotn IL Hvit,Oppsal IF Fotball 1,,Monday 27/07 18:30,09 EK7,2 11 7 01 028,Girls 11* Mandag,
Ullern IF,Oppsal IF Fotball 1,,Wednesday 29/07 16:15,14 EK7,2 11 7 01 032,Girls 11* Mandag,
Oppsal IF Fotball 1,Lørenskog Rød,,Wednesday 29/07 18:30,09 EK7,2 11 7 01 035,Girls 11* Mandag,
Oppsal IF Fotball 1,Frigg Oslo FK - Fotball,,Friday 31/07 14:00,10 EK7,2 11 7 01 038,Girls 11* Mandag,
Oppsal IF Fotball 1,KFUM-Kam. Oslo 2,,Friday 31/07 16:15,14 EK7,2 11 7 01 043,Girls 11* Mandag,
